trip_id	start_time	end_time	start_pos_lng	start_pos_lat	end_pos_lng	end_pos_lat
713331	1619869401	1619870841	13.457692	52.510053	13.496499	52.500342
716689	1619853140	1619854882	13.29502	52.536442	13.339055	52.526137
718441	1619862926	1619864303	13.344001	52.48543	13.373038	52.492253
718442	1619882241	1619883683	13.373422	52.492164	13.422333	52.487122
720123	1619908941	1619909960	13.441173	52.508783	13.459153	52.501032
720124	1619937321	1619938052	13.459153	52.501032	13.463305	52.512003
715555	1619890041	1619891601	13.424856	52.527829	13.473276	52.522798
719027	1619874861	1619878403	13.404643	52.539707	13.462384	52.491862
717092	1619876181	1619877920	13.4187	52.542729	13.369702	52.525899
717093	1619881641	1619883080	13.369702	52.525899	13.4187	52.542729
717094	1619889501	1619891302	13.4187	52.542729	13.355833	52.519788
716690	1619866581	1619868021	13.339055	52.526137	13.391969	52.510892
721480	1619868200	1619869822	13.441311	52.517298	13.414548	52.540923
722443	1619870062	1619870780	13.411227	52.523849	13.457591	52.516413
722444	1619876541	1619878521	13.453413	52.515632	13.372964	52.527524
722445	1619896053	1619897962	13.372772	52.527431	13.453413	52.515632
722446	1619903240	1619904021	13.453413	52.515632	13.432277	52.515181
727742	1619885240	1619885720	13.461108	52.505964	13.466539	52.500609
722749	1619872823	1619875642	13.282371	52.506585	13.354641	52.497249
722750	1619880741	1619883741	13.354637	52.497133	13.404342	52.540333
725743	1619898561	1619899531	13.414548	52.540923	13.376659	52.536165
725744	1619933431	1619935100	13.376659	52.536165	13.416694	52.528409
723365	1619879840	1619881461	13.340519	52.505382	13.399335	52.532496
723742	1619885302	1619886022	13.439072	52.470898	13.427151	52.484911
723898	1619877861	1619879601	13.499569	52.545092	13.44799	52.523187
723899	1619890760	1619891061	13.448077	52.523151	13.437713	52.518591
717741	1619871441	1619872881	13.449485	52.516491	13.418229	52.499462
724409	1619886861	1619888841	13.406054	52.498364	13.320929	52.479418
724765	1619859082	1619859561	13.434944	52.485817	13.420945	52.481977
724766	1619890941	1619891841	13.420945	52.481977	13.417513	52.499405
728320	1619873961	1619875520	13.420736	52.472578	13.391089	52.504102
726444	1619848581	1619849540	13.425035	52.539138	13.37079	52.527036
726445	1619863401	1619865082	13.370767	52.526987	13.412992	52.521013
726446	1619895260	1619896880	13.402103	52.530604	13.433427	52.499785
726447	1619901442	1619902701	13.433427	52.499785	13.426226	52.516097
728711	1619894660	1619895080	13.417514	52.498796	13.410793	52.504049
733146	1619901442	1619902220	13.433427	52.499785	13.453919	52.511102
729564	1619929700	1619930060	13.420699	52.49676	13.406311	52.49376
729773	1619887101	1619889082	13.416694	52.528409	13.422333	52.487122
729774	1619899941	1619901381	13.422333	52.487122	13.421234	52.506853
731241	1619870780	1619871502	13.369702	52.525899	13.399335	52.532496
730031	1619895562	1619896221	13.4686	52.527782	13.451117	52.521851
733643	1619875163	1619876660	13.400744	52.529711	13.441657	52.504316
734225	1619891541	1619893254	13.479364	52.515903	13.404887	52.540802
734613	1619875401	1619879121	13.335328	52.504157	13.414945	52.52054
732297	1619891425	1619891901	13.354847	52.527165	13.341867	52.526036
732547	1619885840	1619886442	13.394296	52.54726	13.406186	52.540076
733644	1619881341	1619882841	13.441661	52.504307	13.428618	52.472737
744248	1619875041	1619876181	13.441311	52.517298	13.459271	52.499396
740227	1619874201	1619875280	13.448117	52.482649	13.412721	52.502542
740228	1619875462	1619876487	13.412726	52.50252	13.435414	52.486271
740230	1619903721	1619904140	13.44984	52.49496	13.452095	52.501495
740511	1619886320	1619887941	13.293036	52.50668	13.368879	52.523804
735351	1619869041	1619869582	13.430038	52.485498	13.451791	52.472524
736081	1619880381	1619882841	13.460186	52.492689	13.349811	52.497338
740921	1619861540	1619862021	13.444463	52.497609	13.439063	52.489599
740922	1619875941	1619876601	13.439063	52.489599	13.460661	52.493231
741239	1619883683	1619884880	13.413158	52.489249	13.438593	52.491324
736523	1619869642	1619871142	13.440042	52.479705	13.44111	52.500167
736524	1619891901	1619893281	13.44111	52.500167	13.414945	52.52054
736875	1619873361	1619874560	13.406659	52.505573	13.435579	52.491836
737297	1619865021	1619866041	13.414768	52.521591	13.447874	52.530329
741902	1619856142	1619857101	13.462191	52.505775	13.461974	52.493286
741903	1619863941	1619865140	13.461974	52.493286	13.491266	52.469456
741904	1619872701	1619874141	13.491266	52.469456	13.44675	52.498512
742098	1619870780	1619871681	13.348238	52.542717	13.339055	52.526137
742277	1619864482	1619866280	13.319413	52.49096	13.357194	52.53288
742278	1619890161	1619892801	13.343793	52.536009	13.409214	52.528222
742279	1619895382	1619897482	13.409207	52.528062	13.360816	52.537898
735111	1619864482	1619865502	13.374319	52.547429	13.35241	52.546265
735112	1619873242	1619876431	13.35241	52.546265	13.425157	52.487347
735114	1619893760	1619895141	13.460248	52.492813	13.408932	52.507791
737576	1619874141	1619877621	13.387458	52.549127	13.414942	52.495547
737846	1619864482	1619865622	13.419697	52.496227	13.418464	52.476736
742873	1619872701	1619873902	13.426559	52.543924	13.413682	52.523151
743278	1619933361	1619934320	13.447129	52.528062	13.431344	52.539502
744665	1619880141	1619881101	13.448826	52.47755	13.468715	52.502585
743571	1619887702	1619888541	13.438081	52.493276	13.407456	52.495545
747207	1619926160	1619926641	13.410727	52.522096	13.402946	52.515769
749600	1619870425	1619873482	13.348238	52.542717	13.38881	52.494193
746194	1619871381	1619873482	13.459611	52.511458	13.427382	52.4904
746537	1619886681	1619888182	13.385771	52.452959	13.42298	52.477226
750320	1619878881	1619880922	13.421794	52.539796	13.419697	52.496227
747048	1619875462	1619875821	13.306106	52.517245	13.306448	52.508826
747049	1619932460	1619933431	13.306448	52.508826	13.359011	52.502742
750816	1619885781	1619886741	13.383382	52.493311	13.423282	52.487147
748972	1619891541	1619893059	13.415511	52.5133	13.410842	52.547583
748973	1619904502	1619905837	13.410842	52.547583	13.415511	52.5133
749103	1619871922	1619873060	13.418464	52.476736	13.385725	52.502103
749104	1619882182	1619883201	13.385725	52.502103	13.377346	52.487289
749105	1619885001	1619885901	13.376718	52.487904	13.422329	52.486449
748008	1619853081	1619854700	13.369652	52.534756	13.351486	52.514876
748009	1619859381	1619859987	13.351581	52.514876	13.355705	52.507229
748010	1619873242	1619874141	13.355705	52.507229	13.377289	52.51612
748011	1619893102	1619894731	13.377326	52.516107	13.376581	52.543302
748263	1619860881	1619861782	13.442345	52.465385	13.4245	52.480787
748264	1619868803	1619869286	13.424349	52.480323	13.422333	52.487122
748265	1619871082	1619871861	13.422333	52.487122	13.438551	52.495018
748266	1619873121	1619874321	13.438551	52.495018	13.394571	52.488976
